Z,A,E0,ThetaDeg,nu,cross,error
6,12,0.0888,135.0,0.03979,12000.0,599.8
6,12,0.0888,135.0,0.03999,11580.0,579.0
6,12,0.0888,135.0,0.04019,11150.0,557.6
6,12,0.0888,135.0,0.04039,10860.0,543.0
6,12,0.0888,135.0,0.04059,10660.0,533.1
6,12,0.0809,135.0,0.0396,10460.0,1100.0
6,12,0.0809,135.0,0.0399,7225.0,1065.0
6,12,0.2,36.0,0.0425,276200.0,47410.0
6,12,0.0809,135.0,0.0458,6355.0,1105.0
6,12,0.2,36.0,0.0475,200300.0,42920.0
6,12,0.098,135.0,0.0532,1702.0,805.5
6,12,0.0809,135.0,0.0508,3285.0,1885.0
6,12,0.098,135.0,0.0581,1374.0,895.5
6,12,0.098,135.0,0.0633,1432.0,895.5
6,12,0.098,135.0,0.0684,2448.0,955.0
6,12,0.161,60.0,0.0084,146800.0,19250.0
6,12,0.161,60.0,0.0134,81090.0,10790.0
6,12,0.24,36.0,0.0125,361300.0,50450.0
6,12,0.0809,135.0,0.0123,3730.0,1510.0
6,12,0.0809,135.0,0.0127,2345.0,1445.0
6,12,0.0888,135.0,0.01519,3160.0,158.0
6,12,0.0809,135.0,0.0132,3255.0,1415.0
6,12,0.0888,135.0,0.01529,3214.0,160.7
6,12,0.0888,135.0,0.01549,4225.0,211.3
6,12,0.0888,135.0,0.01559,5787.0,289.4
6,12,0.0888,135.0,0.01569,7622.0,381.1
6,12,0.0888,135.0,0.01579,14220.0,710.8
6,12,0.0809,135.0,0.0138,5140.0,1350.0
6,12,0.0888,135.0,0.01589,17860.0,893.1
6,12,0.1196,90.0,0.0171,25810.0,4670.0
6,12,0.25,35.0,0.01501,131000.0,3930.0
6,12,0.0888,135.0,0.01609,16940.0,847.2
6,12,0.25,35.0,0.01521,136000.0,4080.0
6,12,0.0888,135.0,0.01629,14260.0,713.2
6,12,0.0809,135.0,0.0144,7185.0,1195.0
6,12,0.0888,135.0,0.01639,12910.0,645.7
6,12,0.25,35.0,0.01541,147000.0,4410.0
6,12,0.25,35.0,0.01551,162000.0,4860.0
6,12,0.0888,135.0,0.01659,11210.0,560.4
6,12,0.25,35.0,0.01561,179000.0,5370.0
6,12,0.0809,135.0,0.0147,8975.0,1225.0
6,12,0.25,35.0,0.01571,201000.0,6030.0
6,12,0.0888,135.0,0.01679,12820.0,641.3
6,12,0.25,35.0,0.01581,220000.0,6600.0
6,12,0.25,35.0,0.01581,235000.0,7050.0
6,12,0.25,35.0,0.01591,260000.0,7800.0
6,12,0.0888,135.0,0.01689,14620.0,731.1
6,12,0.25,35.0,0.01601,280000.0,8400.0
6,12,0.25,35.0,0.01601,294000.0,8820.0
6,12,0.0809,135.0,0.015,14060.0,1415.0
6,12,0.25,35.0,0.01621,310000.0,9300.0
6,12,0.0888,135.0,0.01719,13800.0,689.9
6,12,0.25,35.0,0.01641,298000.0,8940.0
6,12,0.0888,135.0,0.01739,11580.0,579.0
6,12,0.0809,135.0,0.0155,12720.0,1065.0
6,12,0.25,35.0,0.01661,281000.0,8430.0
6,12,0.25,35.0,0.01661,296000.0,8880.0
6,12,0.0888,135.0,0.01759,8669.0,433.5
6,12,0.25,35.0,0.01671,318000.0,9540.0
6,12,0.25,35.0,0.01681,372000.0,11160.0
6,12,0.25,35.0,0.01681,352000.0,10560.0
6,12,0.25,35.0,0.01691,390000.0,11700.0
6,12,0.25,35.0,0.01691,408000.0,12240.0
6,12,0.25,35.0,0.01701,435000.0,13050.0
6,12,0.0888,135.0,0.01789,7481.0,374.1
6,12,0.161,60.0,0.0184,96280.0,9250.0
6,12,0.25,35.0,0.01721,431000.0,12930.0
6,12,0.25,35.0,0.01721,392000.0,11760.0
6,12,0.25,35.0,0.01721,414000.0,12420.0
6,12,0.0809,135.0,0.0161,8655.0,1165.0
6,12,0.0888,135.0,0.01809,8197.0,409.9
6,12,0.25,35.0,0.01731,346000.0,10380.0
6,12,0.25,35.0,0.01731,366000.0,10980.0
6,12,0.0888,135.0,0.01819,9717.0,485.9
6,12,0.25,35.0,0.01741,319000.0,9570.0
6,12,0.25,35.0,0.01741,299000.0,8970.0
6,12,0.25,35.0,0.01741,279000.0,8370.0
6,12,0.25,35.0,0.01751,260000.0,7800.0
6,12,0.25,35.0,0.01751,244000.0,7320.0
6,12,0.25,35.0,0.01751,223000.0,6690.0
6,12,0.0888,135.0,0.01839,11190.0,559.5
6,12,0.25,35.0,0.01761,196000.0,5880.0
6,12,0.0809,135.0,0.0165,9190.0,1130.0
6,12,0.25,35.0,0.01771,172000.0,5160.0
6,12,0.0888,135.0,0.01859,11730.0,586.5
6,12,0.24,36.0,0.0175,304100.0,41200.0
6,12,0.25,35.0,0.01801,176000.0,5280.0
6,12,0.0888,135.0,0.01879,12800.0,639.9
6,12,0.25,35.0,0.01821,179000.0,5370.0
6,12,0.0809,135.0,0.017,10600.0,1225.0
6,12,0.25,35.0,0.01841,178000.0,5340.0
6,12,0.0888,135.0,0.01929,13170.0,658.5
6,12,0.25,35.0,0.01861,179000.0,5370.0
6,12,0.0809,135.0,0.0174,8650.0,910.0
6,12,0.25,35.0,0.01871,185000.0,5550.0
6,12,0.25,35.0,0.01881,196000.0,5880.0
6,12,0.0888,135.0,0.01959,12330.0,616.7
6,12,0.25,35.0,0.01901,224000.0,6720.0
6,12,0.0888,135.0,0.01969,14620.0,731.1
6,12,0.0888,135.0,0.01979,17590.0,879.4
6,12,0.0809,135.0,0.0179,11140.0,945.0
6,12,0.25,35.0,0.01921,240000.0,7200.0
6,12,0.0888,135.0,0.01989,18720.0,936.1
6,12,0.0888,135.0,0.01999,21510.0,1075.0
6,12,0.25,35.0,0.01941,246000.0,7380.0
6,12,0.0888,135.0,0.02019,21480.0,1074.0
6,12,0.25,35.0,0.01961,228000.0,6840.0
6,12,0.0809,135.0,0.0183,9970.0,1160.0
6,12,0.25,35.0,0.01981,236000.0,7080.0
6,12,0.0888,135.0,0.02049,17960.0,898.1
6,12,0.0809,135.0,0.0186,12960.0,945.0
6,12,0.25,35.0,0.02001,260000.0,7800.0
6,12,0.0888,135.0,0.02059,16000.0,800.0
6,12,0.25,35.0,0.02011,278000.0,8340.0
6,12,0.0888,135.0,0.02069,15150.0,757.3
6,12,0.1196,90.0,0.0221,40060.0,4770.0
6,12,0.25,35.0,0.02031,285000.0,8550.0
6,12,0.0888,135.0,0.02089,13880.0,693.9
6,12,0.25,35.0,0.02051,279000.0,8370.0
6,12,0.0809,135.0,0.0191,16480.0,880.0
6,12,0.0888,135.0,0.02109,13820.0,690.8
6,12,0.25,35.0,0.02071,274000.0,8220.0
6,12,0.25,35.0,0.02091,276000.0,8280.0
6,12,0.0888,135.0,0.02139,13610.0,680.7
6,12,0.0809,135.0,0.0195,13620.0,915.0
6,12,0.25,35.0,0.02101,279000.0,8370.0
6,12,0.098,135.0,0.024,10210.0,597.0
6,12,0.0888,135.0,0.02159,13230.0,661.5
6,12,0.25,35.0,0.02121,292000.0,8760.0
6,12,0.0888,135.0,0.02179,14060.0,702.9
6,12,0.25,35.0,0.02141,313000.0,9390.0
6,12,0.25,35.0,0.02141,327000.0,9810.0
6,12,0.0888,135.0,0.02189,15960.0,798.0
6,12,0.25,35.0,0.02161,371000.0,11130.0
6,12,0.25,35.0,0.02161,354000.0,10620.0
6,12,0.0888,135.0,0.02209,17600.0,880.0
6,12,0.0809,135.0,0.0202,13580.0,1010.0
6,12,0.25,35.0,0.02181,390000.0,11700.0
6,12,0.25,35.0,0.02181,405000.0,12150.0
6,12,0.25,35.0,0.02191,424000.0,12720.0
6,12,0.0888,135.0,0.02229,18800.0,939.8
6,12,0.25,35.0,0.02201,440000.0,13200.0
6,12,0.25,35.0,0.02211,462000.0,13860.0
6,12,0.0888,135.0,0.02249,19610.0,980.6
6,12,0.098,135.0,0.0249,11020.0,567.0
6,12,0.25,35.0,0.02221,484000.0,14520.0
6,12,0.25,35.0,0.02221,499000.0,14970.0
6,12,0.25,35.0,0.02231,522000.0,15660.0
