Z,A,E0,ThetaDeg,nu,cross,error,dataSet,normalization,normError,normCross,normCrossError,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),nu_elastic,Ex,R,Veff,Eeff,Eprime,Eprime_eff,F2foc,Q2,Q2eff,q3momt_squared,q3momt,W2,epsilon,gamma,Sig_R,D_sig_R,Sig_mott,Sig_mott_eff,H,Hcc,Hstar_Sig(nb),Hstar_error(nb),Hstar_Sig(GeV),Hstar_error(GeV),Hcc_Sig(nb),Hcc_error(nb),Hcc_Sig(GeV),Hcc_error(GeV),qvbin,qvcenter,Q2bin,Q2center,RL_fortran_qvcenter_nu,RT_fortran_qvcenter_nu,RL_fortran_qvdata_nu,RT_fortran_qvdata_nu,RL_fortran_qvcenter_ex,RT_fortran_qvcenter_ex,RL_fortran_qvdata_ex,RT_fortran_qvdata_ex,RL_fortran_q2center_nu,RT_fortran_q2center_nu,RL_fortran_q2data_nu,RT_fortran_q2data_nu,RL_fortran_q2center_ex,RT_fortran_q2center_ex,RL_fortran_q2data_ex,RT_fortran_q2data_ex,RL_fortran_qvcenter_w2,RT_fortran_qvcenter_w2,RL_fortran_qvdata_w2,RT_fortran_qvdata_w2,RL_fortran_q2center_w2,RT_fortran_q2center_w2,RL_fortran_q2data_w2,RT_fortran_q2data_w2,bc_qv_ex,bc_qv_nu,bc_qv_w2,bc_q2_ex,bc_q2_nu,bc_q2_w2
20.0,40.0,0.35,90.0,0.0126,499.0,35.372729962500800,3.0,1.0,0.005,499.0,35.46061265686200,1.5707963267949000,0.5000000000000000,0.5000000000000000,1.0,0.0030387528318577800,0.009561247168142220,4.01341260817504,0.0074,0.3574,0.3374,0.3448,1.0427327346938800,0.23618000000000000,0.24646304000000000,0.24662180000000000,0.49661031000171600,0.657537662129,0.3331902495832670,-0.00026320086433089100,-1895890.4305597800,-134394.4293360330,0.0002174667085652530,0.0002129640402849420,1599.675283201350,1534.1182164679800,798237.9663174740,56725.46559435910,2.0500280043657700,0.1456818617205100,765524.9900175220,54400.771844007000,1.9660148148773800,0.13971160286176200,"[0.460,0.609]",0.57,"[0.206,0.322]",0.265,1.16E-05,5.54E-05,0.000205,0.00017,0.00028,0.000207,0.00305,0.000405,0.000124,0.000129,0.000205,0.00017,0.0016,0.000347,0.00304,0.000405,0.00269,0.00547,0.000205,0.00017,,0.00202,,0.00017,1.0,1.0,1.0,1.0,1.0,1.0
20.0,40.0,0.35,90.0,0.0238,1370.0,97.1155111194911,3.0,1.0,0.005,1370.0,97.35679226433050,1.5707963267949000,0.5000000000000000,0.5000000000000000,1.0,0.0030387528318577800,0.02076124716814220,4.01341260817504,0.0074,0.3574,0.3262,0.3336,1.0427327346938800,0.22834000000000000,0.23845728000000000,0.23902372000000000,0.48890052157877700,0.6865607373290000,0.33280629330676300,-0.00022878608297008200,-5988126.472619190,-424481.7248442110,0.00021746670856525300,0.0002129640402849420,1603.3656943710100,1537.6573891120100,2196611.00128829,156098.54083063300,5.641317824198750,0.40089095438509700,2106590.623083460,149701.39100549100,5.410128249071330,0.38446184822498100,"[0.460,0.609]",0.57,"[0.206,0.322]",0.265,0.000156,0.00132,0.000638,0.0164,0.000264,0.00156,0.000849,0.00879,0.000447,0.0029,0.000638,0.0164,0.000585,0.005,0.000848,0.00877,0.00113,0.00934,0.000638,0.0164,,0.00606,,0.00336,1.0,1.0,1.0,1.0,1.0,1.0
20.0,40.0,0.35,90.0,0.055,4840.0,343.0942144659400,3.0,1.0,0.005,4840.0,343.9466237659560,1.5707963267949000,0.5000000000000000,0.5000000000000000,1.0,0.0030387528318577800,0.05196124716814220,4.01341260817504,0.0074,0.3574,0.295,0.3024,1.0427327346938800,0.20650000000000000,0.21615552000000000,0.21918052000000000,0.4681671923576020,0.767410732529,0.33025217879896000,-0.00013282978608961100,-36437610.43727640,-2582961.4318167900,0.00021746670856525200,0.00021296404028494200,1628.1603052782000,1561.4358800735200,7880295.877546500,560000.2399501860,20.238109327455100,1.4381878873108400,7557349.65955583,537050.5991783110,19.408721577534900,1.3792488136790500,"[0.460,0.609]",0.57,"[0.206,0.322]",0.265,0.00242,0.00595,0.00898,0.024,0.00191,0.00677,0.00809,0.0251,0.00516,0.0127,0.00898,0.024,0.00431,0.0137,0.00807,0.025,0.00294,0.0265,0.00898,0.024,,0.027,,0.024,0.2628756484040780,0.2512402663556310,0.9715883821258210,0.544429192232336,0.5369897127473240,
20.0,40.0,0.35,90.0,0.0754,7500.0,531.6542579534180,3.0,1.0,0.005,7500.0,532.9751401331960,1.5707963267949000,0.5000000000000000,0.5000000000000000,1.0,0.0030387528318577800,0.07236124716814220,4.01341260817504,0.0074,0.3574,0.27460000000000000,0.282,1.0427327346938800,0.19222,0.20157360000000000,0.20725876000000000,0.45525680664873100,0.820274190929,0.3271814727665610,-7.03371158395432E-05,-106629336.59533900,-7558658.776488030,0.00021746670856525300,0.0002129640402849420,1658.5455981512700,1590.5759385583900,12439091.986134500,883963.5725919670,31.945970996718500,2.270187782488940,11929319.539187900,847737.433745646,30.636777703250200,2.1771521186159100,"[0.340,0.460]",0.38,"[0.145,0.206]",0.16,0.00997,0.0786,0.00482,0.0479,0.00995,0.0784,0.0049,0.0488,0.00768,0.0688,0.00482,0.0479,0.00769,0.0689,0.0049,0.0487,0.027,0.0402,0.00482,0.0479,,0.0444,,0.0479,1.6507979220165500,1.6858198311914200,1.1146210650801300,1.4335652218002500,1.455398002374150,
20.0,40.0,0.35,90.0,0.0849,8620.0,611.047960474462,3.0,1.0,0.005,8620.0,612.5660943930860,1.5707963267949000,0.5000000000000000,0.5000000000000000,1.0,0.0030387528318577800,0.08186124716814220,4.01341260817504,0.0074,0.3574,0.2651,0.2725,1.0427327346938800,0.18557,0.19478300000000000,0.20199101000000000,0.44943409972987200,0.844891977929,0.3253079146139830,-4.1402158808941E-05,-208201703.6787580,-14758842.969862300,0.00021746670856525300,0.00021296404028494200,1677.400764325980,1608.6583920456100,14459194.588489900,1027518.8349351400,37.13398144130530,2.638865194984420,13866635.339433200,985409.5884280430,35.61217578175190,2.530720583696960,"[0.340,0.460]",0.38,"[0.145,0.206]",0.16,0.0104,0.0848,0.00595,0.0593,0.0104,0.0846,0.00602,0.0601,0.00826,0.0761,0.00595,0.0593,0.00826,0.0762,0.00601,0.06,0.0161,0.0576,0.00595,0.0593,,0.0598,,0.0593,1.4464100328403100,1.46899577061475,1.0612681309353200,1.2854412757131200,1.2988853745077300,
20.0,40.0,0.35,90.0,0.0896,9360.0,663.5045139258670,3.0,1.0,0.005,9360.0,665.152974886229,1.5707963267949000,0.5000000000000000,0.5000000000000000,1.0,0.0030387528318577800,0.08656124716814220,4.01341260817504,0.0074,0.3574,0.26040000000000000,0.2678,1.0427327346938800,0.18228,0.19142344000000000,0.19945160000000000,0.4466000447828010,0.857071304129,0.32426698547773500,-2.71417265817343E-05,-344856469.3116850,-24445921.372312000,0.00021746670856525300,0.00021296404028494200,1687.9818657831300,1618.8058642646200,15799510.263730100,1122766.1595796600,40.57616884014420,2.883478569819210,15152022.88951690,1076753.5363788900,38.91329723340510,2.765309339469180,"[0.340,0.460]",0.38,"[0.145,0.206]",0.16,0.0105,0.0866,0.00647,0.0645,0.0105,0.0865,0.00652,0.0651,0.00845,0.0789,0.00647,0.0645,0.00846,0.079,0.00651,0.0651,0.011,0.0654,0.00647,0.0645,,0.0664,,0.0645,1.365578978836730,1.3796386842418200,1.0413003526716000,1.2275891352441300,1.2372218497191700,
20.0,40.0,0.35,90.0,0.0947,9730.0,689.7327906515680,3.0,1.0,0.005,9730.0,691.4464151328000,1.5707963267949000,0.5000000000000000,0.5000000000000000,1.0,0.0030387528318577800,0.09166124716814220,4.01341260817504,0.0074,0.3574,0.25530000000000000,0.2627,1.0427327346938800,0.17871,0.18777796000000000,0.19674605000000000,0.44356064974251300,0.8702871687290000,0.32304770694709400,-1.1715706586753E-05,-830509020.3438290,-58872487.59126920,0.00021746670856525300,0.00021296404028494200,1700.4728395603500,1630.7849394021000,16545600.728922200,1175785.8489446900,42.49227207247990,3.019643288321050,15867537.460382500,1127600.4002021400,40.750875712130200,2.8958938257630700,"[0.340,0.460]",0.38,"[0.145,0.206]",0.16,0.0105,0.0877,0.00696,0.0696,0.0105,0.0876,0.007,0.0701,0.00859,0.0812,0.00696,0.0696,0.00859,0.0813,0.00699,0.07,0.00972,0.0728,0.00696,0.0696,,0.0725,,0.0696,1.2849044361322800,1.2954050153179800,1.0535330903275100,1.1740000990423500,1.1792852140058400,
20.0,40.0,0.35,90.0,0.0998,10200.0,723.0497908166490,3.0,1.0,0.005,10200.0,724.8461905811470,1.5707963267949000,0.5000000000000000,0.5000000000000000,1.0,0.0030387528318577800,0.09676124716814220,4.01341260817504,0.0074,0.3574,0.2502,0.2576,1.0427327346938800,0.17514,0.18413248000000000,0.19409252000000000,0.4405593263114520,0.883503033329,0.32173133543072400,3.65432162005248E-06,2791215733.1826500,197861563.92175100,0.0002174667085652530,0.00021296404028494200,1714.0772087691300,1643.8317813743000,17483587.52944520,1242442.3351382700,44.90120185274140,3.1908299132818400,16767084.170017900,1191525.2046853800,43.0610839755821,3.0600649688230900,"[0.340,0.460]",0.38,"[0.145,0.206]",0.16,0.0104,0.0878,0.00736,0.0739,0.0104,0.0878,0.00739,0.0743,0.00865,0.0828,0.00736,0.0739,0.00866,0.0829,0.00738,0.0742,0.00998,0.0788,0.00736,0.0739,,0.0774,,0.0739,1.2157409584857500,1.2222282916370700,1.0706056452926900,1.1286194542027300,1.1317509457177400,
20.0,40.0,0.35,90.0,0.111,10500.0,744.315961134786,3.0,1.0,0.005,10500.0,746.1651961864750,1.5707963267949000,0.5000000000000000,0.5000000000000000,1.0,0.0030387528318577800,0.10796124716814200,4.01341260817504,0.0074,0.3574,0.239,0.24640000000000000,1.0427327346938800,0.1673,0.17612672000000000,0.18844772,0.43410565534210700,0.912526108529,0.31848040230431300,3.71799722973896E-05,282410108.21670800,20019271.53633310,0.0002174667085652530,0.00021296404028494200,1748.212493418820,1676.5681514084800,18356231.180897600,1304455.3181275000,47.14231790935120,3.3500911325253500,17603965.589789000,1250996.8036157000,45.21035577078250,3.212799426987260,"[0.340,0.460]",0.38,"[0.145,0.206]",0.16,0.00995,0.0853,0.00792,0.0802,0.00996,0.0854,0.00793,0.0803,0.00856,0.084,0.00792,0.0802,0.00857,0.0841,0.00792,0.0803,0.0105,0.0866,0.00792,0.0802,,0.0834,,0.0802,1.0961009959741500,1.0961952286805000,1.0831512186918000,1.0557686787349900,1.0557564867757900,
20.0,40.0,0.35,90.0,0.121,10400.0,737.2272376954070,3.0,1.0,0.005,10400.0,739.0588609846980,1.5707963267949000,0.5000000000000000,0.5000000000000000,1.0,0.0030387528318577800,0.11796124716814200,4.01341260817504,0.0074,0.3574,0.22900000000000000,0.23640000000000000,1.0427327346938800,0.1603,0.16897872,0.18361972,0.4285087163640900,0.938439568529,0.31513054313565200,6.68008082438366E-05,155686739.02923300,11036202.361569900,0.0002174667085652530,0.00021296404028494200,1784.2073899073100,1711.0879236289800,18555756.855036000,1318634.2813453800,47.65473806077630,3.3865054261270700,17795314.405741400,1264594.6918819000,45.70177618406370,3.2477214088049800,"[0.340,0.460]",0.38,"[0.145,0.206]",0.16,0.00928,0.0801,0.00804,0.0818,0.00932,0.0804,0.00804,0.0818,0.00828,0.0827,0.00804,0.0818,0.00828,0.0827,0.00804,0.0818,0.0104,0.0876,0.00804,0.0818,,0.0836,,0.0818,1.014804612770170,1.01098298591324,1.0750152641540900,1.0162987613102500,1.0162987613102500,
