Z,A,E0,ThetaDeg,Ex,cross,error,dataSet,Q2,Q2CC,Q3CC,nu,RT,RTerr,Q2bin,Q2center,qvbin,qvcenter,RL_fortran_data,RT_fortran_data,RL_fortran_center,RT_fortran_center,bin_centering_correction,RT_bc,RTerr_bc
6,12,0.1506,180,0.0201,4538.0,38.0,17,0.07623278170186076,0.07970786238762284,0.2830404076940655,0.02405155759983273,0.02088044994901054,0.0001748473111640371,0.070~0.100,0.093,0.270~0.340,0.3,0.014841735,0.016152564,0.012742193,0.025123564,1.555391701280366,0.03247727856969104,0.0002719560567757293
6,12,0.1506,180,0.0207,3541.0,101.0,17,0.07587134170186077,0.07933898238762284,0.2824313587185793,0.02465155759983273,0.01629929497176512,0.000464905052851815,0.070~0.100,0.093,0.270~0.340,0.3,0.014900019,0.0088078426,0.011112817,0.014526824,1.649305585910448,0.02688251824333428,0.0007667705005864903
6,12,0.1506,180,0.0209,2632.0,126.5,17,0.07575086170186077,0.07921602238762283,0.2822283337789153,0.02485155759983273,0.01211676528397897,0.000582359729644126,0.070~0.100,0.093,0.270~0.340,0.3,0.015498559,0.0071183144,0.011037833,0.012048411,1.692593263371452,0.02050875529351589,0.0009856981552544678
6,12,0.1506,180,0.0214,2190.0,63.0,17,0.07544966170186078,0.07890862238762283,0.2817207524972607,0.02535155759983273,0.01008542719580783,0.0002901287275506363,0.070~0.100,0.093,0.270~0.340,0.3,0.017027103,0.0067086803,0.011910404,0.0066032966,0.9842914410454169,0.009926999668120325,0.0002855712233294889
6,12,0.1506,180,0.0216,1774.0,50.5,17,0.07532918170186077,0.07878566238762283,0.2815177123870234,0.02555155759983273,0.008170815282228499,0.0002325964891502476,0.070~0.100,0.093,0.270~0.340,0.3,0.017607883,0.0069729024,0.01234115,0.0061777422,0.8859642435264834,0.007239050180514202,0.000206072172556915
6,12,0.1506,180,0.0223,1748.0,101.0,17,0.07490750170186078,0.07835530238762285,0.2808070376390571,0.02625155759983273,0.008055215488200365,0.0004654329315264514,0.070~0.100,0.093,0.270~0.340,0.3,0.01944821,0.0079582376,0.013752893,0.0068206268,0.857052420752052,0.006903741933841545,0.0003989004206624693
6,12,0.1506,180,0.0228,1634.0,88.5,17,0.07460630170186078,0.07804790238762285,0.2802993799272893,0.02675155759983273,0.007532789307641101,0.0004079876705790927,0.070~0.100,0.093,0.270~0.340,0.3,0.020553789,0.0086520901,0.014637437,0.0074458275,0.8605813640336454,0.006482578097347837,0.0003511065860558651
6,12,0.1506,180,0.0232,1723.0,76.0,17,0.07436534170186078,0.07780198238762284,0.279893233908258,0.02715155759983273,0.007945630544875707,0.0003504747077252198,0.070~0.100,0.093,0.270~0.340,0.3,0.021305003,0.0091962577,0.015261883,0.0079424707,0.8636633464501545,0.006862349866043918,0.0003026921589201032
6,12,0.1506,180,0.0238,1748.0,75.5,17,0.07400390170186077,0.07743310238762284,0.2792839816166026,0.02775155759983274,0.008064951292269472,0.00034834314792125,0.070~0.100,0.093,0.270~0.340,0.3,0.022216958,0.0099918712,0.016057855,0.0086782439,0.8685304009923587,0.007004655379858646,0.0003025466139469837
6,12,0.1506,180,0.0244,1888.0,88.5,17,0.07364246170186077,0.07706422238762284,0.2786746891765071,0.02835155759983274,0.008715444768059823,0.0004085364735028042,0.070~0.100,0.093,0.270~0.340,0.3,0.022902508,0.01076432,0.016696519,0.009401944,0.8734359439332907,0.007612382727788792,0.0003568304403650996
