nu,RT,q2,nuel,ex
0.0843,5.05398236,0.31779350999999995,0.01421522441368382,0.07008477558631618
0.08586,5.24677648,0.3175280604,0.014203350585188951,0.07165664941481105
0.0875,5.4627059,0.31724375,0.014190633094076109,0.07330936690592388
0.08888,5.67092356,0.31700034559999996,0.01417974536962485,0.07470025463037515
0.09035,5.88685298,0.31673687749999996,0.014167960175624673,0.07618203982437532
0.09199,6.1027824,0.31643783989999996,0.01415458392199341,0.07783541607800659
0.09303,6.24159418,0.3162454191,0.014145976745421868,0.07888402325457813
0.09449,6.4343883,0.3159716399,0.01413373032551292,0.08035626967448709
0.09588,6.62718243,0.31570702559999997,0.014121893860830018,0.08175810613916999
0.09752,6.84311185,0.3153898496,0.014107706258261816,0.08341229374173818
0.09847,6.99734715,0.3152036591,0.014099377769296775,0.08437062223070323
0.09959,7.17471775,0.31498183189999995,0.01408945521477683,0.08550054478522316
0.10063,7.36751188,0.31477360309999997,0.014080140930412145,0.08654985906958786
0.10166,7.52174718,0.31456524439999994,0.014070820835489363,0.08758917916451064
0.10252,7.70682954,0.3143896496,0.014062966302878312,0.08845703369712168
0.10347,7.86106484,0.3141939591,0.014054212869326047,0.08941578713067395
0.10434,8.01530014,0.3140131644,0.014046125739940352,0.09029387426005965
0.10546,8.21580603,0.3137781884,0.014035615026326881,0.09142438497367311
0.10661,8.42848652,0.3135343079,0.01402470600544215,0.09258529399455785
0.10788,8.63224135,0.31326190559999995,0.014012521175659742,0.09386747882434027
0.10891,8.81732371,0.3130386119,0.014002533023114836,0.09490746697688517
0.11004,9.00240607,0.31279119839999997,0.013991465967574668,0.09604853403242533
0.11098,9.21833549,0.31258343959999996,0.013982172706784295,0.0969978272932157
0.11202,9.40341785,0.31235151959999996,0.013971798691134883,0.09804820130886512
0.11299,9.54822767,0.31213325989999996,0.013962035714490196,0.09902796428550979
0.11399,9.71781509,0.31190627989999997,0.013951882670026141,0.10003811732997385
0.11499,9.88293969,0.3116772999,0.013941640163543724,0.10104835983645627
0.11604,10.0659156,0.3114347184,0.01393078924823992,0.10210921075176008
0.11739,10.24442868,0.3111195879,0.013916693142950999,0.103473306857049
0.11843,10.4140161,0.31087433509999995,0.013905722737702369,0.10452427726229763
0.11943,10.58360353,0.3106364751,0.013895083019858418,0.10553491698014157
0.12068,10.76211661,0.31033633759999996,0.013881657566590155,0.10679834243340984
0.12173,10.93616686,0.31008180709999994,0.01387027216045764,0.10785972783954237
0.12278,11.11467994,0.30982507159999995,0.01385878812244988,0.10892121187755012
0.12403,11.29765585,0.3095165591,0.013844988046979723,0.11018501195302027
0.12518,11.47616893,0.3092299676,0.013832168519961836,0.11134783148003818
0.12653,11.65468201,0.30889015909999995,0.013816968542828326,0.11271303145717168
0.12768,11.84658357,0.3085978176,0.013803891812507647,0.11387610818749234
0.12903,12.02955948,0.30825125909999995,0.01378838990106216,0.11524161009893785
0.12988,12.19022125,0.3080311856,0.01377854579131302,0.11610145420868698
0.13088,12.33749454,0.30777042559999995,0.013766881733358808,0.11711311826664118
0.13218,12.49369349,0.3074284476,0.013751584712300882,0.11842841528769911
0.13313,12.63204113,0.30717640309999994,0.013740310507457191,0.1193896894925428
0.13417,12.77931442,0.30689841109999993,0.013727875644752762,0.12044212435524725
0.13537,12.90427357,0.3065749631,0.013713407489294973,0.12165659251070501
0.13637,13.04708404,0.30630322309999997,0.013701252284859945,0.12266874771514005
0.13737,13.1720432,0.30602948309999994,0.013689007618406555,0.12368099238159344
0.13857,13.31485366,0.3056983551,0.01367419592879825,0.12489580407120175
0.13957,13.44427564,0.30542021509999995,0.01366175444590446,0.12590824555409555
0.14057,13.58262328,0.30514007509999996,0.013649223500992309,0.12692077649900768
0.14177,13.74328505,0.30480126709999994,0.013634068277233487,0.12813593172276652
0.14297,13.88163269,0.3044595791,0.013618784228168224,0.12935121577183178
0.14417,14.02890598,0.30411501109999994,0.013603371353796514,0.13056662864620347
0.14527,14.17171644,0.30379662709999994,0.013589129716169218,0.1316808702838308
0.14657,14.27436147,0.30341723509999996,0.013572159129133768,0.13299784087086625
0.14782,14.38593214,0.30304924759999996,0.01355569867689253,0.1342643013231075
0.14892,14.49750282,0.30272283359999996,0.013541097849261505,0.1353789021507385
0.15032,14.61353632,0.3023038976,0.013522358419198976,0.13679764158080104
0.15162,14.72510699,0.3019113756,0.01350480051401297,0.13811519948598702
0.15297,14.83667767,0.3015001791,0.013486407279596001,0.139483592720404
0.15417,14.95271117,0.3011316111,0.013469920861003933,0.14070007913899607
0.15541,15.0577529,0.3007477319,0.013452749556984082,0.1419572504430159
0.15663,15.16880704,0.30036704309999995,0.013435720962775923,0.14319427903722406
0.15778,15.25403464,0.30000547159999996,0.013419547504689596,0.1443604524953104
0.15871,15.3470102,0.2997111359,0.013406381571790405,0.14530361842820957
0.15975,15.43998576,0.29937993749999997,0.01339156673311905,0.14635843326688094
0.16102,15.51230009,0.29897255959999997,0.013373344308533743,0.14764665569146626
0.16218,15.5742838,0.29859764759999996,0.013356574116419426,0.14882342588358055
0.16369,15.64659813,0.29810558389999997,0.013334563610536762,0.15035543638946325
0.16508,15.72924307,0.29764859359999996,0.013314121973231528,0.15176587802676847
0.1667,15.8015574,0.29711110999999996,0.013290079789384934,0.15340992021061506
0.16832,15.88420234,0.2965683776,0.013265802821417347,0.15505419717858265
0.16982,15.96684729,0.29606116759999995,0.013243114806250313,0.15657688519374968
0.17133,16.05982285,0.29554603109999994,0.013220072230739002,0.158109927769261
0.17318,16.13213718,0.29490868759999994,0.013191563212788627,0.15998843678721136
0.17468,16.2044515,0.2943868976,0.013168223019507727,0.16151177698049227
0.17642,16.23544336,0.29377598359999996,0.013140896219764518,0.16327910378023547
