e,ep,th,w2,q2,eps,cs,cserr,sigm,rat,erat,set,eb,theta,nu
0.3201,0.265,145.0,0.6751,0.3086,0.0469,0.01242,0.0009076,0.01042,1.191,0.08707,1.0,0.32,145.0,0.05499999999999999
0.3201,0.26,145.0,0.6903,0.3028,0.0468,0.01738,0.001122,0.01381,1.259,0.08125,1.0,0.32,145.0,0.06
0.3201,0.255,145.0,0.7055,0.297,0.0467,0.02152,0.001185,0.01787,1.204,0.0663,1.0,0.32,145.0,0.065
0.3201,0.25,145.0,0.7207,0.2912,0.0466,0.02673,0.001409,0.02281,1.172,0.06177,1.0,0.32,145.0,0.07
0.3201,0.245,145.0,0.736,0.2853,0.0465,0.03534,0.001966,0.02879,1.228,0.06828,1.0,0.32,145.0,0.07500000000000001
0.3201,0.24,145.0,0.7512,0.2795,0.0463,0.03774,0.002006,0.03581,1.054,0.056,1.0,0.32,145.0,0.08000000000000002
0.3201,0.235,145.0,0.7664,0.2737,0.0462,0.04635,0.002226,0.04378,1.059,0.05084,1.0,0.32,145.0,0.08500000000000002
0.3201,0.23,145.0,0.7816,0.2679,0.046,0.05305,0.002357,0.05246,1.011,0.04492,1.0,0.32,145.0,0.09
0.3201,0.225,145.0,0.7968,0.262,0.0458,0.05992,0.002868,0.06162,0.9724,0.04654,1.0,0.32,145.0,0.095
0.3201,0.22,145.0,0.812,0.2562,0.0457,0.07043,0.003586,0.07101,0.9919,0.0505,1.0,0.32,145.0,0.1
0.3201,0.215,145.0,0.8272,0.2504,0.0454,0.07648,0.003761,0.08026,0.9529,0.04685,1.0,0.32,145.0,0.10500000000000001
0.3201,0.21,145.0,0.8424,0.2446,0.0452,0.08409,0.004498,0.08916,0.9431,0.05045,1.0,0.32,145.0,0.11000000000000001
0.3201,0.205,145.0,0.8576,0.2387,0.045,0.08889,0.004316,0.09732,0.9134,0.04435,1.0,0.32,145.0,0.11500000000000002
0.3201,0.2,145.0,0.8728,0.2329,0.0447,0.1024,0.004956,0.1045,0.9799,0.04744,1.0,0.32,145.0,0.12
0.3201,0.195,145.0,0.888,0.2271,0.0444,0.1018,0.005482,0.1104,0.9219,0.04964,1.0,0.32,145.0,0.125
0.3201,0.19,145.0,0.9032,0.2213,0.0441,0.1076,0.005314,0.1149,0.9368,0.04627,1.0,0.32,145.0,0.13
0.3201,0.185,145.0,0.9184,0.2155,0.0438,0.108,0.004999,0.1174,0.9204,0.0426,1.0,0.32,145.0,0.135
0.3201,0.18,145.0,0.9336,0.2096,0.0435,0.1149,0.005449,0.118,0.9732,0.04617,1.0,0.32,145.0,0.14
0.3201,0.175,145.0,0.9488,0.2038,0.0431,0.1155,0.005525,0.1166,0.9903,0.04739,1.0,0.32,145.0,0.14500000000000002
0.3201,0.17,145.0,0.964,0.198,0.0427,0.1123,0.005597,0.1134,0.9905,0.04936,1.0,0.32,145.0,0.15
0.3201,0.165,145.0,0.9792,0.1922,0.0423,0.1096,0.005482,0.1086,1.009,0.0505,1.0,0.32,145.0,0.155
0.3201,0.16,145.0,0.9944,0.1863,0.0419,0.1101,0.005691,0.1022,1.077,0.05569,1.0,0.32,145.0,0.16
0.3201,0.155,145.0,1.0097,0.1805,0.0414,0.09907,0.00523,0.09514,1.041,0.05498,1.0,0.32,145.0,0.165
0.3201,0.15,145.0,1.0249,0.1747,0.0409,0.09469,0.005019,0.08765,1.08,0.05726,1.0,0.32,145.0,0.17
0.3201,0.145,145.0,1.0401,0.1689,0.0404,0.08484,0.004788,0.08016,1.058,0.05973,1.0,0.32,145.0,0.17500000000000002
0.3201,0.14,145.0,1.0553,0.163,0.0398,0.08053,0.004721,0.07304,1.103,0.06463,1.0,0.32,145.0,0.18
0.3201,0.135,145.0,1.0705,0.1572,0.0392,0.07159,0.004371,0.06658,1.075,0.06566,1.0,0.32,145.0,0.185
0.3201,0.13,145.0,1.0857,0.1514,0.0386,0.07283,0.004462,0.06098,1.194,0.07316,1.0,0.32,145.0,0.19
0.3201,0.125,145.0,1.1009,0.1456,0.0379,0.06497,0.004204,0.05639,1.152,0.07454,1.0,0.32,145.0,0.195
0.3201,0.12,145.0,1.1161,0.1398,0.0372,0.05769,0.003663,0.05286,1.091,0.06929,1.0,0.32,145.0,0.2
0.3201,0.115,145.0,1.1313,0.1339,0.0364,0.05694,0.003948,0.0504,1.13,0.07833,1.0,0.32,145.0,0.20500000000000002
0.3201,0.11,145.0,1.1465,0.1281,0.0357,0.06208,0.004388,0.04897,1.268,0.0896,1.0,0.32,145.0,0.21000000000000002
0.3201,0.105,145.0,1.1617,0.1223,0.0348,0.05272,0.00397,0.04852,1.087,0.08183,1.0,0.32,145.0,0.21500000000000002
0.3201,0.1,145.0,1.1769,0.1165,0.0339,0.05496,0.004225,0.049,1.122,0.08623,1.0,0.32,145.0,0.22
0.48,0.4675,36.0,0.8181,0.0857,0.8254,8.417,0.3769,98.54,0.08542,0.003825,1.0,0.48,36.0,0.012499999999999956
0.48,0.4625,36.0,0.8284,0.0848,0.8251,6.832,0.3144,45.35,0.1507,0.006932,1.0,0.48,36.0,0.01749999999999996
